"On this visit, I noticed amenities that had been there before, but we just did not see. There were tea and hot cocoa pouches with mints, cups, and even fresh fruit, like a classy hotel. Sadly, somebody else booked additional days I wanted.",Amenities
"Elizabeth was an excellent host! We felt welcomed and comfortable the moment we entered her home. She even left amenities for us, including guides to what was nearby and a map of Austin which was very helpful. The house was in a safe location and it was easy to get to downtown. We would absolutely recommend Elizabeth to anyone who needs a place to stay in Austin.",Amenities
"What a pleasant surprise it was to have such a lovely room to stay in with all of the amenities! It was great visiting with the host family and getting to know them as well. Elizabeth was quick to answer my calls and texts and readily communicated without a problem. Looking forward to the next time I'm in that neck of the woods so I can stay again.",Amenities
"We recently stayed in Sarah's cottage, and while there are some very nice things about it, sadly our experience wasn't as overwhelmingly positive as everyone else's. Positives: the cottage is cute and nicely decorated, with a really nice bathroom (great shower!) and a comfortable bed. It's also quiet, well located and with easy access to the rest of Austin and beyond. Negatives: the WIFI is almost non existent. When we did manage to connect, the signal was so weak it took a long time to load just a single page. As international travellers who can't use data while roaming and rely on free WIFI, this was very frustrating, especially as the property is advertised as having internet. The cottage could also do with some dusting / cleaning. It wasn't too bad (the main things, i.e. bathroom / bed were clean) but things like the fridge, shelves, floor etc. needed some attention. And finally, we also found the host unresponsive and not particularly helpful. ",Amenities
"I never met Sara. The only communication was text messages wanting to know whether we could leave early on thanksgiving so it could be cleaned for next guests. Perhaps she was gone. The house was in a quiet backyard with trees, close to my daughter and the cherrywood coffeehouse where we went everyday. The bed was really really comfortable.The only problems we had were an electric plug near the bed that didn't work and the refrigerator froze all our food even tho it was turned down low. ",Amenities
"A true gem, close to the city centre of Austin. A safe, quiet and beautiful area. The house is clean and has everything you need including dish washer, washing machine and dryer. Comfortable beds. I highly recommend this place. ",Amenities
"Location:Very secluded even though the highway is so close. You pull into a private residential street and then pull into their even more private tree-lined driveway. Very nice peaceful stay. If you need to keep in touch with the hosts, their house is just further down the driveway. On site hiking paths was awesome. Probably would've braved going down the trails more had I had better shoes. The whole property in general looks like an artistic public garden, a hidden jewel. We ended up bringing our car, which makes it easier to travel around and get things that we needed. Amenities:Modern decor, cute breakfast nook, fruits, pastry, snacks, water bottles, coffee/creamer, cups/plates/bowls, extra blankets, books/magazines about Austin, plus all the things you would expect from a hotel except better. They even provided things you didn't expect (like a colander!) but it was a pleasant surprise and we made use of these items.",Amenities
"We planned to stay for four nights and left after one due to feeling unsafe and uncomfortable. The unit is very rundown, and photos and listing description are inaccurate and outdated. Unit does not have a pullout sofa or chairs in dining area that are in the photo. Multiple safety and comfort issues: this is a ground floor unit and the windows were unlocked on arrival and difficult to lock due to broken lock mechanisms, very difficult to find the parking spot, had to unload the dishwasher of previous guest, lack of toilet paper, moderate amount of mold on shower curtain, ceiling lights in bedroom not all functional, multiple table lamps with either missing lightbulbs or burnt out, main bed and pillows not comfortable, shower temperature extremely difficult to control (scalding or too cool), 4-inch cockroach in the bathroom, AC vent above main bedroom door loose and noisy. Plus, the host expects that you load the dishwasher, start laundry, and take out the garbage even though there is an $80 cleaning fee. ",Amenities
"Our view of this accommodation is quite different to others, maybe it's all about expectation. We have been traveling for about a month and this place was the most lacking in modern conveniences. No cable TV (CNN, HBO, Disney JR), no dish washer, no clothes washer/drier, water heater couldn't handle 2 consecutive showers and water pressure is rather low. It's almost 20 km to the Hamilton Pools (pictured with the listing). Interior design was tasteful but rooms are dark. ",Amenities
"My family had to vacate this house after the AC failed in on a 100 degree day in July. I was unimpressed by Top Trip's efforts at fixing the AC, which wasted a whole day of our vacation. My and family and I will not stay at any of Top Trip's properties in the future because of this frustrating experience.The house itself was neither wonderful nor bad, merely meh in a way that would have rendered our stay there an entirely forgettable aspect of our vacation. It is located very close to attractions in South Austin that are enjoyable for adults, children and dogs alike. It has a nice back porch that is a pleasant spot for enjoying an evening breeze. Judging from other property reviews, Top Trip seems capable of addressing minor issues like an empty propane tank in the grill outside.They are not, however, ready to address a real issue like a failed AC unit on a Saturday night. ",Amenities
